Date (AST),Parameter ,Value (m)
2021-05-03 13:05,46,2.72
2021-05-03 13:10,46,2.721
2021-05-03 13:15,46,2.72
2021-05-03 13:20,46,2.721
2021-05-03 13:25,46,2.719
2021-05-03 13:30,46,2.723
2021-05-03 13:35,46,2.716
2021-05-03 13:40,46,2.716
2021-05-03 13:45,46,2.713
2021-05-03 13:50,46,2.712
2021-05-03 13:55,46,2.712
2021-05-03 14:00,46,2.715
2021-05-03 14:05,46,2.719
2021-05-03 14:10,46,2.717
2021-05-03 14:15,46,2.716
2021-05-03 14:20,46,2.71
2021-05-03 14:25,46,2.716
2021-05-03 14:30,46,2.714
2021-05-03 14:35,46,2.716
2021-05-03 14:40,46,2.717
2021-05-03 14:45,46,2.712
2021-05-03 14:50,46,2.714
2021-05-03 14:55,46,2.712
2021-05-03 15:00,46,2.716
2021-05-03 15:05,46,2.719
2021-05-03 15:10,46,2.715
2021-05-03 15:15,46,2.715
2021-05-03 15:20,46,2.71
2021-05-03 15:25,46,2.713
2021-05-03 15:30,46,2.71
2021-05-03 15:35,46,2.712
2021-05-03 15:40,46,2.714
2021-05-03 15:45,46,2.711
2021-05-03 15:50,46,2.706
2021-05-03 15:55,46,2.711
2021-05-03 16:00,46,2.71
2021-05-03 16:05,46,2.711
2021-05-03 16:10,46,2.71
2021-05-03 16:15,46,2.708
2021-05-03 16:20,46,2.707
2021-05-03 16:25,46,2.707
2021-05-03 16:30,46,2.701
2021-05-03 16:35,46,2.705
2021-05-03 16:40,46,2.708
2021-05-03 16:45,46,2.706
2021-05-03 16:50,46,2.704
2021-05-03 16:55,46,2.703
2021-05-03 17:00,46,2.701
2021-05-03 17:05,46,2.699
2021-05-03 17:10,46,2.706
2021-05-03 17:15,46,2.703
2021-05-03 17:20,46,2.704
2021-05-03 17:25,46,2.706
2021-05-03 17:30,46,2.705
2021-05-03 17:35,46,2.705
2021-05-03 17:40,46,2.705
2021-05-03 17:45,46,2.702
2021-05-03 17:50,46,2.698
2021-05-03 17:55,46,2.699
2021-05-03 18:00,46,2.698
2021-05-03 18:05,46,2.699
2021-05-03 18:10,46,2.698
2021-05-03 18:15,46,2.699
2021-05-03 18:20,46,2.699
2021-05-03 18:25,46,2.7
2021-05-03 18:30,46,2.699
2021-05-03 18:35,46,2.696
2021-05-03 18:40,46,2.694
2021-05-03 18:45,46,2.697
2021-05-03 18:50,46,2.695
2021-05-03 18:55,46,2.696
2021-05-03 19:00,46,2.696
2021-05-03 19:05,46,2.695
2021-05-03 19:10,46,2.693
2021-05-03 19:15,46,2.692
2021-05-03 19:20,46,2.691
2021-05-03 19:25,46,2.69
2021-05-03 19:30,46,2.688
2021-05-03 19:35,46,2.689
2021-05-03 19:40,46,2.69
2021-05-03 19:45,46,2.688
2021-05-03 19:50,46,2.687
2021-05-03 19:55,46,2.688
2021-05-03 20:00,46,2.686
2021-05-03 20:05,46,2.686
