Date (NST),Parameter ,Value (m)
2021-05-07 12:00,46,85.983
2021-05-07 12:15,46,85.97
2021-05-07 12:30,46,85.988
2021-05-07 12:45,46,85.964
2021-05-07 13:00,46,85.972
2021-05-07 13:15,46,85.993
2021-05-07 13:30,46,85.973
2021-05-07 13:45,46,85.979
2021-05-07 14:00,46,85.989
2021-05-07 14:15,46,85.958
2021-05-07 14:30,46,85.985
2021-05-07 14:45,46,85.986
2021-05-07 15:00,46,85.968
2021-05-07 15:15,46,85.983
2021-05-07 15:30,46,85.977
2021-05-07 15:45,46,85.964
2021-05-07 16:00,46,85.976
2021-05-07 16:15,46,85.974
2021-05-07 16:30,46,85.98
2021-05-07 16:45,46,85.985
2021-05-07 17:00,46,85.968
2021-05-07 17:15,46,85.975
2021-05-07 17:30,46,85.983
2021-05-07 17:45,46,85.964
2021-05-07 18:00,46,85.981
2021-05-07 18:15,46,85.989
2021-05-07 18:30,46,85.964
2021-05-07 18:45,46,85.98
2021-05-07 19:00,46,85.972
2021-05-07 19:15,46,85.974
2021-05-07 19:30,46,85.983
2021-05-07 19:45,46,85.977
2021-05-07 20:00,46,85.974
2021-05-07 20:15,46,85.988
2021-05-07 20:30,46,85.965
2021-05-07 20:45,46,85.983
2021-05-07 21:00,46,85.987
2021-05-07 21:15,46,85.978
2021-05-07 21:30,46,85.971
2021-05-07 21:45,46,85.975
2021-05-07 22:00,46,85.97
2021-05-07 22:15,46,85.984
2021-05-07 22:30,46,85.972
2021-05-07 22:45,46,85.985
2021-05-07 23:00,46,85.982
2021-05-07 23:15,46,85.971
2021-05-07 23:30,46,85.976
2021-05-07 23:45,46,85.983
2021-05-08 0:00,46,85.974
2021-05-08 0:15,46,85.985
2021-05-08 0:30,46,85.978
2021-05-08 0:45,46,85.969
2021-05-08 1:00,46,85.981
2021-05-08 1:15,46,85.97
2021-05-08 1:30,46,85.981
2021-05-08 1:45,46,85.988
2021-05-08 2:00,46,85.98
2021-05-08 2:15,46,85.971
2021-05-08 2:30,46,85.975
2021-05-08 2:45,46,85.965
2021-05-08 3:00,46,85.984
2021-05-08 3:15,46,85.987
2021-05-08 3:30,46,85.972
2021-05-08 3:45,46,85.982
2021-05-08 4:00,46,85.968
2021-05-08 4:15,46,85.965
2021-05-08 4:30,46,85.994
2021-05-08 4:45,46,85.972
2021-05-08 5:00,46,85.976
2021-05-08 5:15,46,85.972
2021-05-08 5:30,46,85.951
2021-05-08 5:45,46,85.977
2021-05-08 6:00,46,85.99
2021-05-08 6:15,46,85.946
2021-05-08 6:30,46,86.028
2021-05-08 6:45,46,85.936
2021-05-08 7:00,46,85.978
2021-05-08 7:15,46,85.991
2021-05-08 7:30,46,85.957
2021-05-08 7:45,46,85.992
2021-05-08 8:00,46,86.02
2021-05-08 8:15,46,85.932
2021-05-08 8:30,46,85.987
2021-05-08 8:45,46,85.968
2021-05-08 9:00,46,85.959
2021-05-08 9:15,46,86.033
2021-05-08 9:30,46,85.961
2021-05-08 9:45,46,85.996
2021-05-08 10:00,46,85.964
2021-05-08 10:15,46,85.96
