Date (MST),Parameter ,Value (m)
2021-05-03 13:35,46,7.512
2021-05-03 13:40,46,7.402
2021-05-03 13:45,46,7.479
2021-05-03 13:50,46,7.486
2021-05-03 13:55,46,7.479
2021-05-03 14:00,46,7.437
2021-05-03 14:05,46,7.522
2021-05-03 14:10,46,7.436
2021-05-03 14:15,46,7.489
2021-05-03 14:20,46,7.415
2021-05-03 14:25,46,7.497
2021-05-03 14:30,46,7.424
2021-05-03 14:35,46,7.515
2021-05-03 14:40,46,7.462
2021-05-03 14:45,46,7.489
2021-05-03 14:50,46,7.447
2021-05-03 14:55,46,7.498
2021-05-03 15:00,46,7.474
2021-05-03 15:05,46,7.525
2021-05-03 15:10,46,7.467
2021-05-03 15:15,46,7.494
2021-05-03 15:20,46,7.405
2021-05-03 15:25,46,7.535
2021-05-03 15:30,46,7.457
2021-05-03 15:35,46,7.517
2021-05-03 15:40,46,7.435
2021-05-03 15:45,46,7.533
2021-05-03 15:50,46,7.419
2021-05-03 15:55,46,7.55
2021-05-03 16:00,46,7.46
2021-05-03 16:05,46,7.534
2021-05-03 16:10,46,7.465
2021-05-03 16:15,46,7.533
2021-05-03 16:20,46,7.419
2021-05-03 16:25,46,7.516
2021-05-03 16:30,46,7.456
2021-05-03 16:35,46,7.52
2021-05-03 16:40,46,7.423
2021-05-03 16:45,46,7.479
2021-05-03 16:50,46,7.436
2021-05-03 16:55,46,7.517
2021-05-03 17:00,46,7.431
2021-05-03 17:05,46,7.515
2021-05-03 17:10,46,7.428
2021-05-03 17:15,46,7.511
2021-05-03 17:20,46,7.453
2021-05-03 17:25,46,7.496
2021-05-03 17:30,46,7.45
2021-05-03 17:35,46,7.505
2021-05-03 17:40,46,7.474
2021-05-03 17:45,46,7.496
2021-05-03 17:50,46,7.462
2021-05-03 17:55,46,7.481
2021-05-03 18:00,46,7.483
2021-05-03 18:05,46,7.526
2021-05-03 18:10,46,7.428
2021-05-03 18:15,46,7.486
2021-05-03 18:20,46,7.421
2021-05-03 18:25,46,7.522
2021-05-03 18:30,46,7.448
2021-05-03 18:35,46,7.526
2021-05-03 18:40,46,7.435
2021-05-03 18:45,46,7.527
2021-05-03 18:50,46,7.462
2021-05-03 18:55,46,7.486
2021-05-03 19:00,46,7.444
2021-05-03 19:05,46,7.484
2021-05-03 19:10,46,7.45
2021-05-03 19:15,46,7.49
2021-05-03 19:20,46,7.414
2021-05-03 19:25,46,7.511
2021-05-03 19:30,46,7.439
2021-05-03 19:35,46,7.527
2021-05-03 19:40,46,7.408
