Date (MST),Parameter ,Value (m)
2021-05-02 7:05,46,14.115
2021-05-02 7:10,46,14.115
2021-05-02 7:15,46,14.115
2021-05-02 7:20,46,14.115
2021-05-02 7:25,46,14.115
2021-05-02 7:30,46,14.115
2021-05-02 7:35,46,14.115
2021-05-02 7:40,46,14.115
2021-05-02 7:45,46,14.115
2021-05-02 7:50,46,14.115
2021-05-02 7:55,46,14.115
2021-05-02 8:00,46,14.115
2021-05-02 8:05,46,14.115
2021-05-02 8:10,46,14.115
2021-05-02 8:15,46,14.115
2021-05-02 8:20,46,14.115
2021-05-02 8:25,46,14.115
2021-05-02 8:30,46,14.115
2021-05-02 8:35,46,14.115
2021-05-02 8:40,46,14.115
2021-05-02 8:45,46,14.115
2021-05-02 8:50,46,14.115
2021-05-02 8:55,46,14.115
2021-05-02 9:00,46,14.115
2021-05-02 9:05,46,14.115
2021-05-02 9:10,46,14.115
2021-05-02 9:15,46,14.115
2021-05-02 9:20,46,14.115
2021-05-02 9:25,46,14.115
2021-05-02 9:30,46,14.115
2021-05-02 9:35,46,14.115
2021-05-02 9:40,46,14.115
2021-05-02 9:45,46,14.115
2021-05-02 9:50,46,14.115
2021-05-02 9:55,46,14.115
2021-05-02 10:00,46,14.115
2021-05-02 10:05,46,14.115
2021-05-02 10:10,46,14.115
2021-05-02 10:15,46,14.115
2021-05-02 10:20,46,14.115
2021-05-02 10:25,46,14.115
2021-05-02 10:30,46,14.115
2021-05-02 10:35,46,14.115
2021-05-02 10:40,46,14.115
2021-05-02 10:45,46,14.115
2021-05-02 10:50,46,14.115
2021-05-02 10:55,46,14.115
2021-05-02 11:00,46,14.115
2021-05-02 11:05,46,14.115
2021-05-02 11:10,46,14.115
2021-05-02 11:15,46,14.115
2021-05-02 11:20,46,14.115
2021-05-02 11:25,46,14.115
2021-05-02 11:30,46,14.115
2021-05-02 11:35,46,14.115
2021-05-02 11:40,46,14.115
2021-05-02 11:45,46,14.115
2021-05-02 11:50,46,14.115
2021-05-02 11:55,46,14.115
2021-05-02 12:00,46,14.115
